,location,total_sqft,bath,price,bhk
86,12.Saharanpur,1850.0,4.0,86.0,4
87,12.Saharanpur,1070.0,2.0,39.0,2
88,12.Saharanpur,1500.0,3.0,121.0,3
89,12.Saharanpur,1070.0,2.0,37.0,2
90,12.Saharanpur,950.0,2.0,40.0,2
91,12.Saharanpur,1280.0,2.0,45.0,3
92,12.Saharanpur,710.0,2.0,25.0,2
94,12.Saharanpur,950.0,2.0,32.0,2
95,12.Saharanpur,1800.0,4.0,55.0,4
96,12.Saharanpur,1843.0,3.0,87.54,3
97,12.Saharanpur,1076.0,2.0,30.13,2
98,12.Saharanpur,950.0,2.0,30.0,2
99,13.Noida,1750.0,3.0,100.0,3
100,13.Noida,3198.0,4.0,200.0,4
101,13.Noida,2422.0,4.0,160.0,4
102,13.Noida,1750.0,3.0,100.0,3
103,13.Noida,3200.0,4.0,205.0,4
104,13.Noida,1728.0,3.0,95.0,3
105,13.Noida,2062.0,3.0,140.0,4
106,13.Noida,1732.46,3.0,92.0,3
107,13.Noida,2062.0,3.0,150.0,4
109,13.Noida,1224.0,2.0,70.0,2
110,13.Noida,1777.26,3.0,105.0,3
111,13.Noida,1650.0,3.0,82.0,3
112,13.Noida,2062.0,3.0,140.0,4
113,13.Noida,1650.0,3.0,82.0,3
114,13.Noida,1224.0,2.0,67.0,2
115,13.Noida,1723.0,3.0,95.0,3
116,13.Noida,1777.26,3.0,89.0,3
117,13.Noida,1777.26,3.0,92.0,3
118,14.Firojabad,2060.0,3.0,140.0,3
119,14.Firojabad,920.0,2.0,40.0,2
120,14.Firojabad,1740.0,2.0,95.0,3
121,14.Firojabad,1190.0,2.0,55.0,2
122,14.Firojabad,600.0,1.0,28.0,1
123,14.Firojabad,2072.0,3.0,108.0,3
124,14.Firojabad,1100.0,2.0,55.0,2
125,14.Firojabad,900.0,2.0,50.0,2
126,14.Firojabad,2710.0,6.0,142.0,4
127,14.Firojabad,1240.0,2.0,60.0,2
128,14.Firojabad,900.0,2.0,44.5,2
129,15.jhansi,450.0,1.0,11.0,1
130,15.jhansi,1600.0,4.0,52.8,4
131,15.jhansi,656.0,2.0,25.0,2
132,15.jhansi,400.0,1.0,11.0,1
133,15.jhansi,400.0,1.0,12.0,1
134,15.jhansi,400.0,1.0,14.0,1
135,15.jhansi,500.0,1.0,17.0,1
136,15.jhansi,2168.0,4.0,95.0,4
137,15.jhansi,395.0,1.0,10.25,1
138,15.jhansi,420.0,1.0,17.0,1
140,15.jhansi,418.0,1.0,12.0,1
141,15.jhansi,1200.0,2.0,42.0,2
142,15.jhansi,400.0,1.0,10.0,1
143,15.jhansi,695.0,1.0,25.0,2
144,15.jhansi,850.0,1.0,25.0,2
145,15.jhansi,2400.0,3.0,120.0,3
146,15.jhansi,450.0,1.0,12.5,1
150,15.jhansi,782.0,1.0,19.55,1
152,15.jhansi,656.0,2.0,25.0,2
153,15.jhansi,400.0,1.0,11.5,1
154,15.jhansi,460.0,1.0,13.0,1
155,15.jhansi,418.0,2.0,11.5,1
156,15.jhansi,1000.0,2.0,42.0,2
157,15.jhansi,550.0,1.0,11.5,1
159,15.jhansi,410.0,1.0,10.0,1
160,15.jhansi,1700.0,3.0,65.0,3
161,15.jhansi,400.0,1.0,10.25,1
162,15.jhansi,656.0,2.0,25.0,2
163,15.jhansi,1500.0,3.0,90.0,3
164,15.jhansi,520.0,1.0,15.0,1
165,16.Ayodhya,1388.0,2.0,57.0,2
166,16.Ayodhya,1070.0,2.0,54.0,2
167,16.Ayodhya,1280.0,2.0,58.0,2
168,16.Ayodhya,1662.0,3.0,85.1,3
169,16.Ayodhya,1897.0,3.0,120.0,3
170,16.Ayodhya,1410.0,2.0,75.0,3
171,16.Ayodhya,1360.0,2.0,85.0,3
173,16.Ayodhya,1410.0,2.0,80.0,3
174,16.Ayodhya,1662.0,3.0,85.0,3
175,16.Ayodhya,1662.0,3.0,85.5,3
176,16.Ayodhya,1280.0,2.0,60.0,2
177,16.Ayodhya,1666.0,3.0,95.0,3
178,16.Ayodhya,1575.0,3.0,90.0,3
179,16.Ayodhya,1430.0,2.0,75.0,3
180,16.Ayodhya,1419.0,2.0,73.0,3
181,16.Ayodhya,1280.0,2.0,60.0,2
182,16.Ayodhya,1200.0,2.0,50.0,2
183,16.Ayodhya,1092.0,2.0,60.0,2
184,16.Ayodhya,1690.0,3.0,85.0,3
186,16.Ayodhya,1897.0,4.0,93.0,3
187,16.Ayodhya,1884.0,3.0,98.0,3
188,16.Ayodhya,1314.0,2.0,68.8,2
189,16.Ayodhya,1690.0,3.0,85.0,3
190,16.Ayodhya,1265.0,2.0,67.0,2
191,16.Ayodhya,1126.0,2.0,55.0,2
193,16.Ayodhya,1662.0,3.0,90.0,3
194,16.Ayodhya,1420.0,2.0,75.0,3
195,16.Ayodhya,1412.0,2.0,88.0,3
196,16.Ayodhya,1434.0,3.0,84.0,3
197,16.Ayodhya,1890.0,4.0,100.0,3
199,16.Ayodhya,1419.0,2.0,87.0,3
200,16.Ayodhya,1300.0,2.0,54.0,2
201,16.Ayodhya,1690.0,3.0,85.0,3
202,16.Ayodhya,1113.0,2.0,52.0,2
203,16.Ayodhya,1820.0,4.0,95.0,3
204,16.Ayodhya,1100.0,2.0,48.0,2
205,16.Ayodhya,1896.0,3.0,102.0,3
206,16.Ayodhya,1300.0,2.0,66.0,2
207,16.Ayodhya,1225.0,2.0,68.0,2
208,16.Ayodhya,1179.0,2.0,51.0,2
209,16.Ayodhya,1421.0,2.0,73.0,3
210,16.Ayodhya,1893.0,4.0,95.0,3
211,16.Ayodhya,900.0,2.0,45.0,2
212,17.Ayodhya Cant,1060.0,2.0,55.0,2
214,17.Ayodhya Cant,999.0,2.0,45.0,2
215,17.Ayodhya Cant,2400.0,4.0,225.0,5
217,17.Ayodhya Cant,1194.0,2.0,65.0,2
218,17.Ayodhya Cant,1200.0,2.0,67.0,2
219,17.Ayodhya Cant,2400.0,2.0,228.0,2
222,17.Ayodhya Cant,1194.0,2.0,65.0,2
223,18.Mathura,1260.0,5.0,185.0,3
224,18.Mathura,950.0,2.0,52.0,2
225,18.Mathura,1850.0,3.0,170.0,3
226,18.Mathura,1200.0,2.0,80.0,2
227,18.Mathura,1274.0,2.0,70.0,2
229,18.Mathura,1070.0,2.0,48.0,2
230,18.Mathura,1280.0,2.0,80.0,2
231,18.Mathura,1100.0,2.0,70.0,2
232,18.Mathura,1000.0,2.0,58.0,2
233,18.Mathura,2990.0,5.0,416.0,5
234,18.Mathura,1265.0,2.0,55.0,2
235,18.Mathura,2200.0,3.0,220.0,3
236,18.Mathura,2780.0,4.0,325.0,3
237,18.Mathura,2400.0,2.0,360.0,3
238,18.Mathura,965.0,2.0,56.0,2
239,18.Mathura,1147.0,2.0,75.0,2
240,18.Mathura,1750.0,3.0,172.0,3
241,18.Mathura,1400.0,2.0,90.0,2
242,18.Mathura,1200.0,2.0,70.0,2
243,18.Mathura,1100.0,2.0,47.0,2
244,18.Mathura,930.0,2.0,46.0,2
246,18.Mathura,2500.0,3.0,345.0,3
247,19.Sahjahapur,1150.0,2.0,63.0,2
248,19.Sahjahapur,3300.0,6.0,165.0,6
249,19.Sahjahapur,1450.0,2.0,81.0,3
250,19.Sahjahapur,1776.0,2.0,75.0,3
251,19.Sahjahapur,1458.0,3.0,79.0,3
252,19.Sahjahapur,935.0,2.0,51.5,2
253,19.Sahjahapur,1020.0,2.0,46.5,2
254,19.Sahjahapur,1600.0,3.0,112.0,3
255,19.Sahjahapur,1300.0,2.0,75.0,3
256,19.Sahjahapur,1540.0,2.0,78.0,3
257,19.Sahjahapur,450.0,1.0,20.0,1
258,19.Sahjahapur,1196.0,2.0,56.81,2
259,19.Sahjahapur,1470.0,2.0,99.0,3
260,2.Kanpur,1450.0,2.0,50.75,3
261,2.Kanpur,1150.0,2.0,40.25,2
262,2.Kanpur,1350.0,2.0,47.25,3
263,2.Kanpur,1350.0,2.0,47.25,3
264,2.Kanpur,900.0,2.0,41.0,2
265,2.Kanpur,1681.0,3.0,69.0,3
266,2.Kanpur,1350.0,2.0,47.25,3
267,2.Kanpur,1150.0,2.0,40.25,2
270,20.Farukkhabad,1611.0,2.0,66.0,3
272,20.Farukkhabad,1675.0,3.0,75.0,3
273,20.Farukkhabad,1141.0,2.0,46.0,2
274,20.Farukkhabad,1500.0,2.0,57.0,2
276,20.Farukkhabad,1050.0,2.0,45.0,2
277,20.Farukkhabad,1141.0,2.0,45.9,2
279,20.Farukkhabad,1230.0,3.0,53.0,3
280,20.Farukkhabad,1105.0,2.0,40.0,2
281,20.Farukkhabad,1410.0,2.0,65.0,3
282,20.Farukkhabad,1450.0,2.0,55.99,2
283,20.Farukkhabad,1100.0,2.0,38.0,2
285,20.Farukkhabad,1061.0,2.0,33.84,2
286,20.Farukkhabad,1061.0,2.0,38.95,2
287,20.Farukkhabad,1061.0,2.0,34.0,2
288,20.Farukkhabad,1245.0,2.0,58.0,2
289,21.Mau,1494.0,2.0,94.55,3
290,21.Mau,1274.0,2.0,81.0,2
291,21.Mau,1842.0,3.0,115.0,3
292,21.Mau,1494.0,2.0,94.55,3
293,21.Mau,1274.0,2.0,81.0,2
294,21.Mau,1494.0,2.0,94.55,3
295,21.Mau,1842.0,3.0,115.0,3
296,21.Mau,1842.0,3.0,115.0,3
297,21.Mau,1842.0,3.0,115.0,3
298,22.Hapur,1210.0,2.0,80.9,2
299,22.Hapur,1210.0,2.0,72.0,2
300,22.Hapur,1205.0,2.0,78.5,2
301,22.Hapur,790.5,1.0,41.9,1
304,22.Hapur,1020.07,2.0,68.38,2
305,22.Hapur,1205.47,2.0,81.0,2
306,22.Hapur,1007.0,2.0,65.0,2
308,22.Hapur,1210.0,2.0,74.0,2
309,22.Hapur,1210.0,2.0,83.0,2
310,22.Hapur,675.0,1.0,45.0,1
311,22.Hapur,656.0,1.0,43.0,1
313,22.Hapur,1012.0,2.0,64.0,2
314,22.Hapur,1007.0,2.0,62.0,2
315,22.Hapur,1007.0,2.0,67.0,2
316,22.Hapur,1007.0,2.0,66.0,2
319,22.Hapur,645.0,1.0,34.18,1
322,22.Hapur,790.5,1.0,42.295,1
323,22.Hapur,1012.0,2.0,65.0,2
324,22.Hapur,656.0,1.0,38.77,1
325,22.Hapur,645.0,1.0,39.0,1
326,22.Hapur,645.0,1.0,41.0,1
327,22.Hapur,1210.0,2.0,82.0,2
328,22.Hapur,656.0,1.0,34.77,1
329,22.Hapur,1205.0,2.0,73.87,2
330,22.Hapur,1012.0,2.0,70.0,2
331,22.Hapur,1007.0,2.0,68.0,2
333,22.Hapur,1205.0,2.0,79.0,2
334,22.Hapur,1012.0,2.0,68.0,2
336,23.Etawah,1077.0,2.0,37.64,2
337,23.Etawah,1470.0,2.0,88.64,3
338,23.Etawah,1300.0,2.0,75.0,3
339,23.Etawah,1800.0,3.0,115.0,3
340,23.Etawah,1125.0,2.0,63.0,2
342,23.Etawah,1310.0,2.0,80.0,2
343,23.Etawah,2600.0,4.0,135.0,3
344,23.Etawah,1900.0,2.0,170.0,3
345,23.Etawah,1260.0,2.0,75.0,2
346,23.Etawah,1170.0,2.0,46.79,2
348,23.Etawah,1350.0,2.0,83.0,3
350,23.Etawah,1330.0,2.0,78.0,2
351,23.Etawah,1400.0,2.0,78.0,3
352,23.Etawah,1700.0,3.0,125.0,3
353,23.Etawah,1020.0,2.0,40.79,2
354,23.Etawah,1600.0,2.0,63.98,2
355,23.Etawah,1041.0,2.0,36.44,2
356,23.Etawah,2400.0,1.0,200.0,1
357,23.Etawah,1390.0,2.0,86.0,2
358,23.Etawah,1460.0,2.0,70.0,2
359,23.Etawah,1200.0,2.0,60.0,2
360,23.Etawah,1290.0,2.0,80.0,2
361,23.Etawah,2582.0,5.0,250.0,3
362,23.Etawah,1186.0,2.0,65.0,2
363,23.Etawah,1650.0,3.0,101.0,3
365,23.Etawah,1181.0,2.0,75.0,2
366,23.Etawah,1105.0,2.0,90.0,2
367,23.Etawah,720.0,1.0,60.0,1
368,23.Etawah,1040.0,2.0,45.0,2
369,23.Etawah,1330.0,2.0,77.0,2
370,23.Etawah,1200.0,2.0,49.0,2
371,23.Etawah,1185.0,2.0,67.0,2
372,23.Etawah,1000.0,2.0,50.0,2
373,23.Etawah,1650.0,3.0,90.75,3
374,23.Etawah,1650.0,3.0,101.0,3
375,23.Etawah,1310.0,2.0,80.43,2
376,23.Etawah,600.0,1.0,27.0,2
377,23.Etawah,1430.0,2.0,87.8,2
378,23.Etawah,1020.0,2.0,42.83,2
380,23.Etawah,1540.0,3.0,80.0,3
381,23.Etawah,1195.0,2.0,35.84,2
382,23.Etawah,1683.0,3.0,115.0,3
383,23.Etawah,1800.0,3.0,125.0,3
384,23.Etawah,1175.0,2.0,41.13,2
385,23.Etawah,1750.0,2.0,89.0,3
386,23.Etawah,1800.0,3.0,175.0,3
387,23.Etawah,1450.0,2.0,50.75,2
388,23.Etawah,1770.0,3.0,108.0,3
389,23.Etawah,1800.0,3.0,125.0,3
392,23.Etawah,1200.0,3.0,74.52,3
393,23.Etawah,1100.0,2.0,63.0,2
394,23.Etawah,1020.0,2.0,40.79,2
395,23.Etawah,1260.0,2.0,75.0,2
397,23.Etawah,1426.0,3.0,85.0,3
398,23.Etawah Stage II,1700.0,2.0,150.0,2
399,23.Etawah Stage II,1200.0,2.0,150.0,4
400,23.Etawah Stage II,1500.0,2.0,120.0,3
401,23.Etawah Stage II,2400.0,3.0,510.0,5
402,23.Etawah Stage II,1240.0,2.0,59.52,3
403,23.Etawah Stage II,1250.0,2.0,110.0,2
404,23.Etawah Stage II,1260.0,2.0,95.0,3
405,23.Etawah Stage II,2400.0,2.0,300.0,3
406,23.Etawah Stage II,1400.0,2.0,100.0,2
407,23.Etawah Stage II,2800.0,3.0,425.0,5
408,23.Etawah Stage II,3000.0,3.0,450.0,3
409,23.Etawah Stage II,1200.0,2.0,198.0,3
410,23.Etawah Stage II,1245.0,2.0,125.0,2
411,23.Etawah Stage III,1305.0,2.0,58.7,3
412,23.Etawah Stage III,1145.0,2.0,58.4,2
413,23.Etawah Stage III,1650.0,3.0,118.0,3
414,23.Etawah Stage III,2400.0,4.0,240.0,4
415,23.Etawah Stage III,1350.0,2.0,68.0,3
417,23.Etawah Stage III,1305.0,2.0,59.0,3
418,23.Etawah Stage III,1305.0,2.0,60.0,3
419,23.Etawah Stage III,1200.0,2.0,42.0,2
420,23.Etawah Stage III,1305.0,2.0,59.0,3
421,23.Etawah Stage III,1480.0,3.0,75.48,3
422,23.Etawah Stage III,1305.0,2.0,59.0,3
423,23.Etawah Stage III,1304.0,2.0,111.0,2
424,23.Etawah Stage III,3000.0,6.0,150.0,6
425,23.Etawah Stage III,1085.0,2.0,50.0,2
426,23.Etawah Stage III,1500.0,2.0,100.0,3
427,23.Etawah Stage III,2100.0,3.0,147.0,4
428,23.Etawah Stage III,1420.0,2.0,95.0,3
429,23.Etawah Stage V,1300.0,2.0,58.5,3
430,23.Etawah Stage V,1305.0,2.0,49.0,3
431,23.Etawah Stage V,1035.0,2.0,35.77,2
432,23.Etawah Stage V,1355.0,2.0,61.0,3
433,23.Etawah Stage V,1510.0,3.0,47.57,3
434,23.Etawah Stage V,1650.0,3.0,51.98,3
435,23.Etawah Stage V,1630.0,3.0,51.35,3
436,23.Etawah Stage V,1510.0,3.0,47.57,3
437,23.Etawah Stage V,1315.0,2.0,49.0,3
438,23.Etawah Stage V,1540.0,3.0,48.51,3
439,23.Etawah Stage V,920.0,2.0,41.5,2
440,23.Etawah Stage VI,1177.5,2.0,59.935,2
441,23.Etawah Stage VI,4800.0,4.0,190.0,4
442,23.Etawah Stage VI,2800.0,4.0,89.0,4
443,23.Etawah Stage VI,2200.0,4.0,195.0,4
444,23.Etawah Stage VI,1160.0,2.0,59.0,2
445,23.Etawah Stage VI,1180.0,2.0,59.47,2
446,23.Etawah Stage VI,1423.0,2.0,71.73,3
447,23.Etawah Stage VI,1392.0,3.0,69.46,3
448,23.Etawah Stage VI,1410.5,2.0,70.385,3
449,23.Etawah Stage VI,4800.0,3.0,200.0,4
450,28.Mirjapur,1184.0,2.0,53.0,2
451,28.Mirjapur,1145.0,2.0,55.0,2
452,28.Mirjapur,1250.0,2.0,60.0,2
453,28.Mirjapur,1365.0,2.0,73.0,2
454,28.Mirjapur,1903.0,6.0,140.0,5
455,28.Mirjapur,1222.0,2.0,80.0,2
456,28.Mirjapur,870.0,2.0,38.0,2
457,28.Mirjapur,1200.0,2.0,60.0,2
459,28.Mirjapur,527.0,1.0,35.0,1
460,28.Mirjapur,1340.0,2.0,73.0,2
461,28.Mirjapur,1008.0,2.0,52.0,2
462,28.Mirjapur,1105.0,2.0,57.0,2
463,29.Bulandsahar,1200.0,2.0,70.0,2
464,29.Bulandsahar,1050.0,2.0,64.8,2
465,29.Bulandsahar,753.0,3.0,59.5,2
466,29.Bulandsahar,2500.0,4.0,140.0,3
467,3.Ghajiyabad,1500.0,4.0,220.0,4
468,3.Ghajiyabad,3000.0,8.0,451.0,6
469,3.Ghajiyabad,2400.0,8.0,450.0,6
470,3.Ghajiyabad,1350.0,4.0,200.0,4
471,3.Ghajiyabad,1200.0,4.0,225.0,4
472,3.Ghajiyabad,1500.0,3.0,230.0,4
473,30.Hardoi,3012.0,6.0,250.0,4
474,30.Hardoi,1665.0,3.0,110.0,3
475,30.Hardoi,2370.0,4.0,195.0,3
476,30.Hardoi,1100.0,2.0,66.0,2
477,30.Hardoi,2895.5,2.0,246.0,4
478,30.Hardoi,1113.0,2.0,70.0,2
479,30.Hardoi,1200.0,2.0,73.2,2
480,30.Hardoi,1070.0,2.0,87.0,2
481,30.Hardoi,1776.0,3.0,124.0,3
482,30.Hardoi,1776.0,3.0,150.0,3
483,30.Hardoi Road,500.0,1.0,18.5,1
484,30.Hardoi Road,1050.0,2.0,65.0,2
485,30.Hardoi Road,1170.0,2.0,66.0,3
486,30.Hardoi Road,595.0,1.0,33.32,1
487,30.Hardoi Road,1445.0,3.0,95.0,3
488,30.Hardoi Road,1640.0,2.0,120.0,3
490,30.Hardoi Road,1460.0,2.0,90.0,3
492,30.Hardoi Road,1179.0,2.0,66.02,2
493,30.Hardoi Road,1122.5,2.0,58.935,2
494,30.Hardoi Road,793.0,2.0,45.0,2
496,30.Hardoi Road,1400.0,2.0,78.0,2
498,30.Hardoi Road,1215.0,2.0,50.0,2
499,30.Hardoi Road,1654.0,3.0,100.0,3
500,30.Hardoi Road,1181.0,2.0,55.0,2
502,30.Hardoi Road,1200.0,2.0,75.0,2
504,30.Hardoi Road,595.0,1.0,31.83,1
505,30.Hardoi Road,1105.0,2.0,51.0,2
506,30.Hardoi Road,1255.0,2.0,65.26,2
508,30.Hardoi Road,1550.0,3.0,82.0,3
510,30.Hardoi Road,1650.0,3.0,122.0,3
511,30.Hardoi Road,912.0,2.0,55.0,2
512,30.Hardoi Road,1218.0,2.0,73.0,2
514,30.Hardoi Road,1115.0,2.0,65.12,2
516,30.Hardoi Road,1893.0,3.0,100.0,3
517,30.Hardoi Road,1600.0,3.0,95.0,3
518,30.Hardoi Road,1275.0,2.0,65.0,2
519,30.Hardoi Road,892.0,2.0,39.0,2
521,30.Hardoi Road,1260.0,2.0,70.0,2
523,30.Hardoi Road,1157.0,2.0,40.0,2
524,30.Hardoi Road,1150.0,2.0,65.0,2
526,30.Hardoi Road,1100.0,2.0,39.0,2
528,30.Hardoi Road,1725.0,3.0,110.0,3
529,30.Hardoi Road,1850.0,6.0,150.0,6
531,30.Hardoi Road,950.0,2.0,38.0,2
532,30.Hardoi Road,1220.0,2.0,80.0,2
533,30.Hardoi Road,1130.0,2.0,78.0,2
535,30.Hardoi Road,1486.0,3.0,83.22,3
537,30.Hardoi Road,1015.0,2.0,48.0,2
538,30.Hardoi Road,1115.0,2.0,61.0,2
539,30.Hardoi Road,1136.0,2.0,48.0,2
540,30.Hardoi Road,2700.0,4.0,260.0,4
541,30.Hardoi Road,1200.0,2.0,69.0,3
542,30.Hardoi Road,1465.0,2.0,76.0,3
543,30.Hardoi Road,1302.5,2.0,67.73,2
544,30.Hardoi Road,1200.0,2.0,65.0,2
545,30.Hardoi Road,1240.0,2.0,65.0,2
546,30.Hardoi Road,1476.0,3.0,125.0,3
548,30.Hardoi Road,1532.5,3.0,84.29,3
550,30.Hardoi Road,1268.0,2.0,69.0,2
551,30.Hardoi Road,1450.0,2.0,87.0,3
552,30.Hardoi Road,2932.0,5.0,195.0,4
555,30.Hardoi Road,960.0,2.0,58.0,2
556,30.Hardoi Road,1750.0,3.0,130.0,3
557,30.Hardoi Road,1275.0,2.0,73.0,2
559,30.Hardoi Road,1240.0,2.0,71.0,2
561,30.Hardoi Road,1215.0,2.0,68.0,2
562,30.Hardoi Road,1215.0,2.0,68.0,2
563,30.Hardoi Road,1894.0,3.0,115.0,3
565,30.Hardoi Road,1693.0,3.0,89.0,3
566,30.Hardoi Road,1280.0,2.0,60.16,2
568,30.Hardoi Road,630.0,1.0,35.0,1
569,30.Hardoi Road,1215.0,2.0,68.0,2
570,30.Hardoi Road,1365.0,3.0,76.18,3
571,30.Hardoi Road,1115.0,2.0,78.0,2
572,30.Hardoi Road,1532.5,3.0,79.465,3
574,30.Hardoi Road,1655.0,3.0,90.0,3
575,30.Hardoi Road,1247.0,2.0,47.39,2
576,30.Hardoi Road,1237.5,2.0,49.49,2
577,30.Hardoi Road,1650.0,3.0,94.0,3
578,30.Hardoi Road,905.0,2.0,65.0,2
579,30.Hardoi Road,1000.0,2.0,50.0,2
580,30.Hardoi Road,2185.0,3.0,120.0,4
581,30.Hardoi Road,1012.0,2.0,45.0,2
583,30.Hardoi Road,1460.0,2.0,80.0,3
584,30.Hardoi Road,1340.0,2.0,85.0,2
585,30.Hardoi Road,1711.0,3.0,125.0,3
586,30.Hardoi Road,1520.0,2.0,81.0,3
587,30.Hardoi Road,2826.0,3.0,148.0,3
588,30.Hardoi Road,1115.0,2.0,61.0,2
589,30.Hardoi Road,1154.0,2.0,47.0,2
590,30.Hardoi Road,1000.0,2.0,44.5,2
591,30.Hardoi Road,1250.0,2.0,48.0,2
592,30.Hardoi Road,1640.0,3.0,105.0,3
594,30.Hardoi Road,1012.0,2.0,44.0,2
595,30.Hardoi Road,1527.0,3.0,115.0,3
598,30.Hardoi Road,1550.0,3.0,96.0,3
599,30.Hardoi Road,1200.0,2.0,78.0,2
600,30.Hardoi Road,1885.0,3.0,125.0,3
602,30.Hardoi Road,1450.0,2.0,78.0,3
603,30.Hardoi Road,700.0,1.0,31.2,1
606,30.Hardoi Road,905.0,2.0,58.0,2
608,30.Hardoi Road,1920.0,3.0,122.0,3
609,30.Hardoi Road,2400.0,4.0,180.0,4
611,30.Hardoi Road,1270.0,2.0,45.0,2
612,30.Hardoi Road,1520.0,2.0,80.0,3
613,30.Hardoi Road,1270.0,2.0,73.0,3
614,30.Hardoi Road,1846.0,3.0,120.0,3
616,30.Hardoi Road,1122.5,2.0,61.74,2
617,30.Hardoi Road,1655.0,3.0,95.0,3
618,30.Hardoi Road,1206.0,2.0,53.0,2
619,30.Hardoi Road,1150.0,2.0,55.0,2
620,30.Hardoi Road,1215.0,2.0,65.0,2
621,30.Hardoi Road,1510.0,2.0,110.0,3
622,30.Hardoi Road,1022.0,2.0,35.0,2
623,30.Hardoi Road,1246.0,2.0,47.35,2
624,30.Hardoi Road,1470.0,2.0,85.0,3
625,30.Hardoi Road,1160.0,2.0,45.0,2
626,30.Hardoi Road,970.0,2.0,57.0,2
627,30.Hardoi Road,1527.0,3.0,142.0,3
628,32.Fattehpur,1080.0,2.0,72.0,2
629,32.Fattehpur,1270.0,2.0,93.0,2
630,32.Fattehpur,1420.0,2.0,100.0,3
631,32.Fattehpur,1850.0,3.0,150.0,3
632,32.Fattehpur,1245.0,2.0,94.0,2
633,32.Fattehpur,1175.0,2.0,82.0,2
634,32.Fattehpur,1400.0,2.0,95.0,3
635,32.Fattehpur,2225.0,3.0,160.0,3
636,32.Fattehpur,1050.0,2.0,71.0,2
637,32.Fattehpur,1100.0,2.0,46.0,2
638,32.Fattehpur,918.0,2.0,50.49,2
639,32.Fattehpur,1450.0,2.0,100.0,3
640,32.Fattehpur,1190.0,2.0,49.98,2
641,32.Fattehpur,1420.0,2.0,96.0,3
